Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"An improved Android malware detection scheme based on an evolving hybrid neuro-fuzzy classifier (EHNFC) and permission-based features","Neural Computing and Applications","","28","12","10.1007/s00521-016-2708-7","Altyeb Altaher","2017","http://link.springer.com/article/10.1007/s00521-016-2708-7","Article"
"Slavic languages in phrase-based statistical machine translation: a survey","Artificial Intelligence Review","","","","10.1007/s10462-017-9558-2","Mirjam Sepesy MaučecJanez Brest","2017","http://link.springer.com/article/10.1007/s10462-017-9558-2","Article"
"Spark-based intelligent parameter inversion method for prestack seismic data","Neural Computing and Applications","","","","10.1007/s00521-018-3457-6","Xuesong YanZhixin ZhuChengyu HuWenyin GongQinghua Wu","2018","http://link.springer.com/article/10.1007/s00521-018-3457-6","Article"
"Every team deserves a second chance: an extended study on predicting team performance","Autonomous Agents and Multi-Agent Systems","","31","5","10.1007/s10458-016-9348-2","Leandro Soriano MarcolinoAravind S. LakshminarayananVaishnavh NagarajanMilind Tambe","2017","http://link.springer.com/article/10.1007/s10458-016-9348-2","Article"
"Identification of low-carbon travel block based on GIS hotspot analysis using spatial distribution learning algorithm","Neural Computing and Applications","","","","10.1007/s00521-018-3447-8","Quanhua HouXuan ZhangBo LiXiaoqing ZhangWenhui Wang","2018","http://link.springer.com/article/10.1007/s00521-018-3447-8","Article"
"Latent Structure Preserving Hashing","International Journal of Computer Vision","","122","3","10.1007/s11263-016-0931-4","Li LiuMengyang YuLing Shao","2017","http://link.springer.com/article/10.1007/s11263-016-0931-4","Article"
"Tolerance rough set firefly-based quick reduct","Neural Computing and Applications","","28","10","10.1007/s00521-016-2514-2","Jothi GanesanHannah H. InbaraniAhmad Taher AzarKemal Polat","2017","http://link.springer.com/article/10.1007/s00521-016-2514-2","Article"
"Artificial neural network based screening of cervical cancer using a hierarchical modular neural network architecture (HMNNA) and novel benchmark uterine cervix cancer database","Neural Computing and Applications","","","","10.1007/s00521-017-3246-7","Mehbob AliAbid SarwarVinod SharmaJyotsna Suri","2017","http://link.springer.com/article/10.1007/s00521-017-3246-7","Article"
"Image Annotation by Propagating Labels from Semantic Neighbourhoods","International Journal of Computer Vision","","121","1","10.1007/s11263-016-0927-0","Yashaswi VermaC. V. Jawahar","2017","http://link.springer.com/article/10.1007/s11263-016-0927-0","Article"
"Multiclass multiple kernel learning using hypersphere for pattern recognition","Applied Intelligence","","","","10.1007/s10489-017-1111-0","Yu GuoHuaitie Xiao","2017","http://link.springer.com/article/10.1007/s10489-017-1111-0","Article"
"Rough set theory with Jaya optimization for acute lymphoblastic leukemia classification","Neural Computing and Applications","","","","10.1007/s00521-018-3359-7","G. JothiH. Hannah InbaraniAhmad Taher AzarK. Renuga Devi","2018","http://link.springer.com/article/10.1007/s00521-018-3359-7","Article"
"Coresets-Methods and History: A Theoreticians Design Pattern for Approximation and Streaming Algorithms","KI - Künstliche Intelligenz","","32","1","10.1007/s13218-017-0519-3","Alexander MunteanuChris Schwiegelshohn","2018","http://link.springer.com/article/10.1007/s13218-017-0519-3","Article"
"Interval probabilistic neural network","Neural Computing and Applications","","28","4","10.1007/s00521-015-2109-3","Piotr A. KowalskiPiotr Kulczycki","2017","http://link.springer.com/article/10.1007/s00521-015-2109-3","Article"
"Learning Robust Weighted Group Sparse Graph for Discriminant Visual Analysis","Neural Processing Letters","","","","10.1007/s11063-018-9809-5","Tan GuoXiaoheng TanLei ZhangQin LiuLu DengChaochen Xie","2018","http://link.springer.com/article/10.1007/s11063-018-9809-5","Article"
"Adaptive Spatial-Spectral Dictionary Learning for Hyperspectral Image Restoration","International Journal of Computer Vision","","122","2","10.1007/s11263-016-0921-6","Ying FuAntony LamImari SatoYoichi Sato","2017","http://link.springer.com/article/10.1007/s11263-016-0921-6","Article"
"A systematic review of data-driven approaches in player modeling of educational games","Artificial Intelligence Review","","","","10.1007/s10462-017-9609-8","Danial HooshyarMoslem YousefiHeuiseok Lim","2017","http://link.springer.com/article/10.1007/s10462-017-9609-8","Article"
"Fast Learning Network with Parallel Layer Perceptrons","Neural Processing Letters","","47","2","10.1007/s11063-017-9667-6","Guoqiang LiXiaobin QiBin ChenYunpeng MaPeifeng NiuZhiwang Chen","2018","http://link.springer.com/article/10.1007/s11063-017-9667-6","Article"
"Scene Classification Using Multi-Resolution WAHOLB Features and Neural Network Classifier","Neural Processing Letters","","46","2","10.1007/s11063-017-9614-6","Gholam Ali MontazerDavar Giveki","2017","http://link.springer.com/article/10.1007/s11063-017-9614-6","Article"
"Spam filtering using integrated distribution-based balancing approach and regularized deep neural networks","Applied Intelligence","","","","10.1007/s10489-018-1161-y","Aliaksandr BarushkaPetr Hajek","2018","http://link.springer.com/article/10.1007/s10489-018-1161-y","Article"
"Transductive Zero-Shot Action Recognition by Word-Vector Embedding","International Journal of Computer Vision","","123","3","10.1007/s11263-016-0983-5","Xun XuTimothy HospedalesShaogang Gong","2017","http://link.springer.com/article/10.1007/s11263-016-0983-5","Article"
"An overview on trajectory outlier detection","Artificial Intelligence Review","","","","10.1007/s10462-018-9619-1","Fanrong MengGuan YuanShaoqian LvZhixiao WangShixiong Xia","2018","http://link.springer.com/article/10.1007/s10462-018-9619-1","Article"
"Multi-class and feature selection extensions of Roughly Balanced Bagging for imbalanced data","Journal of Intelligent Information Systems","","50","1","10.1007/s10844-017-0446-7","Mateusz LangoJerzy Stefanowski","2018","http://link.springer.com/article/10.1007/s10844-017-0446-7","Article"
"Multi-label Learning with Missing Labels Using Mixed Dependency Graphs","International Journal of Computer Vision","","","","10.1007/s11263-018-1085-3","Baoyuan WuFan JiaWei LiuBernard GhanemSiwei Lyu","2018","http://link.springer.com/article/10.1007/s11263-018-1085-3","Article"
"A fuzzy classification model for myocardial infarction risk assessment","Applied Intelligence","","48","5","10.1007/s10489-017-1102-1","Sid Ahmed Mokeddem","2018","http://link.springer.com/article/10.1007/s10489-017-1102-1","Article"
"Reducing the complexity of an adaptive radial basis function network with a histogram algorithm","Neural Computing and Applications","","28","1","10.1007/s00521-016-2350-4","Pey Yun GohShing Chiang TanWooi Ping CheahChee Peng Lim","2017","http://link.springer.com/article/10.1007/s00521-016-2350-4","Article"
"Stochastic learning of multi-instance dictionary for earth mover’s distance-based histogram comparison","Neural Computing and Applications","","29","10","10.1007/s00521-016-2603-2","Jihong FanRu-Ze Liang","2018","http://link.springer.com/article/10.1007/s00521-016-2603-2","Article"
"WITS: an IoT-endowed computational framework for activity recognition in personalized smart homes","Computing","","100","4","10.1007/s00607-018-0603-z","Lina YaoQuan Z. ShengBoualem BenatallahSchahram DustdarXianzhi WangAli ShemshadiSalil S. Kanhere","2018","http://link.springer.com/article/10.1007/s00607-018-0603-z","Article"
"gat2vec: representation learning for attributed graphs","Computing","","","","10.1007/s00607-018-0622-9","Nasrullah SheikhZekarias KefatoAlberto Montresor","2018","http://link.springer.com/article/10.1007/s00607-018-0622-9","Article"
"Novelty Detection in Time Series Using Self-Organizing Neural Networks: A Comprehensive Evaluation","Neural Processing Letters","","47","2","10.1007/s11063-017-9679-2","Leonardo AguayoGuilherme A. Barreto","2018","http://link.springer.com/article/10.1007/s11063-017-9679-2","Article"
"Twin support vector machine: theory, algorithm and applications","Neural Computing and Applications","","28","11","10.1007/s00521-016-2245-4","Shifei DingNan ZhangXiekai ZhangFulin Wu","2017","http://link.springer.com/article/10.1007/s00521-016-2245-4","Article"
"The Parvicursor infrastructure to facilitate the design of Grid and Cloud computing systems","Computing","","99","10","10.1007/s00607-017-0541-1","Alireza PoshtkohiM. B. Ghaznavi-GhoushchiKamyar Saghafi","2017","http://link.springer.com/article/10.1007/s00607-017-0541-1","Article"
"A survey of graph-modification techniques for privacy-preserving on networks","Artificial Intelligence Review","","47","3","10.1007/s10462-016-9484-8","Jordi Casas-RomaJordi Herrera-JoancomartíVicenç Torra","2017","http://link.springer.com/article/10.1007/s10462-016-9484-8","Article"
"Bag-of-visual-words for signature-based multi-script document retrieval","Neural Computing and Applications","","","","10.1007/s00521-018-3444-y","Ranju MandalPartha Pratim RoyUmapada PalMichael Blumenstein","2018","http://link.springer.com/article/10.1007/s00521-018-3444-y","Article"
"A Hybrid Model Equipped with the Minimum Cycle Decomposition Concept for Short-Term Forecasting of Electrical Load Time Series","Neural Processing Letters","","46","3","10.1007/s11063-017-9627-1","Zhaoshuang HeCaihong LiYulin ShenAnping He","2017","http://link.springer.com/article/10.1007/s11063-017-9627-1","Article"
"Classification of Multi-class Daily Human Motion using Discriminative Body Parts and Sentence Descriptions","International Journal of Computer Vision","","126","5","10.1007/s11263-017-1053-3","Yusuke GoutsuWataru TakanoYoshihiko Nakamura","2018","http://link.springer.com/article/10.1007/s11263-017-1053-3","Article"
"Stacked sparse autoencoder with PCA and SVM for data-based line trip fault diagnosis in power systems","Neural Computing and Applications","","","","10.1007/s00521-018-3490-5","Yixing WangMeiqin LiuZhejing BaoSenlin Zhang","2018","http://link.springer.com/article/10.1007/s00521-018-3490-5","Article"
